Carimbo de data/hora,Qual é o seu grau de escolaridade?,Em que ano você finalizou o ensino médio?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Você tem/teve contato com alguma linguagem de programação?,Quais linguagens de programação você já usou?,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Qual a importância que você atribui à Estatística? ,Qual a sua principal expectativa após a conclusão da graduação?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?,"Em média, quanto tempo você demora para chegar a Universidade?",Possui animal de estimação?,Toca algum instrumento musical?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",Quantos quadrados há na figura?
05/03/2024 21:28:13,Ensino médio,2023,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, SQL, html",Não,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Masculino,175,69,29/06/2005,jovem aprendiz no banco itau,Com os pais,0,Curitiba,Transporte público,10,"Cachorro, Gato",Violão,Não,0,Nenhuma,"A da esquerda se chama Bouba, a da direita se chama Kiki.",38
05/03/2024 21:37:06,Ensino superior,2014,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,9,Aumento salarial e oportunidades mais promissoras,Feminino,163,68,16/08/1996,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Outro Estado,Carro/moto próprio,60,Gato,Flauta,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",39
05/03/2024 21:42:24,Ensino superior,2004,Totalmente em escola pública,Ensino médio tradicional,Sim,"C#, Python, Java",Não,Nunca usei,8,Conseguir um emprego,Masculino,172,82,27/07/1987,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Curitiba,Carro/moto próprio,20,Gato,Não toco nenhum instrumento,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
05/03/2024 22:21:20,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Sim,"Python, html",Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Feminino,172,51,09/05/2005,Trabalho com carteira assinada/Vínculo Formal,"Pensão, quarto alugado ou algo similar",2,Região metropolitana,A pé,2,Não possuo,"Guitarra, Outro",Sim,3,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",33
05/03/2024 22:23:35,Ensino médio,2019,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,175,85,05/02/2002,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Curitiba,Carro/moto próprio,40,Cachorro,Não toco nenhum instrumento,Sim,4,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
05/03/2024 22:36:41,Ensino superior,2010,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Minitab,10,Aumento salarial e oportunidades mais promissoras,Masculino,186,69,30/06/1992,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Curitiba,Carro/moto próprio,30,Não possuo,Violão,Sim,4,"Musculação, Natação","A da esquerda se chama Kiki, a da direita se chama Bouba.",26
05/03/2024 23:19:36,Ensino superior,2003,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, C++, C#, SQL, JavaScript",Não,Excel ou similares,8,"Acredito que sejam oportunidades mais promissoras. Já tenho um emprego e por ser servidor público, outro curso não melhoria minha situação, salvo se eu vier a  mudar de carreira. Estou indo com calma quanto as expectativas.",Masculino,169,82,20/10/1985,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,2,Outro Estado,Carro/moto próprio,10,Cachorro,Não toco nenhum instrumento,Não,2,"Caminhada, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
05/03/2024 23:59:09,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,9,Seguir os estudos,Masculino,169,67,10/10/2006,Não trabalho,Com os pais,0,Curitiba,A pé,30,Cachorro,Teclado,Sim,1,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
06/03/2024 00:46:22,Ensino médio,2023,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego e continuar os estudos,Feminino,164,55,30/06/2006,Não trabalho,Com os pais,1,Curitiba,Carro/moto próprio,25,"Cachorro, Gato","Violão, Outro",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
06/03/2024 01:04:06,Ensino superior,2015,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,"R, C, C++, PHP, C#, Python, Java, SQL, JavaScript",Sim,R,10,Seguir os estudos,Masculino,174,79,31/10/1996,Não trabalho,Com os pais,3,Região metropolitana,Transporte público,60,Cachorro,"Violão, Guitarra, Contrabaixo",Não,0,"Caminhada, Corrida","A da esquerda se chama Kiki, a da direita se chama Bouba.",27
